src,candidate,root_pct,removed_border_px,removed_loops
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\62-002.tif,outputs\预标注候选\62-002-mac.tif,2.706,0,5
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\62-003.tif,outputs\预标注候选\62-003-mac.tif,1.844,0,19
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\66-001.jpg,outputs\预标注候选\66-001-mac.tif,1.598,0,22
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\66-002.jpg,outputs\预标注候选\66-002-mac.tif,1.448,0,2
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\66-003.jpg,outputs\预标注候选\66-003-mac.tif,1.458,0,10
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\7-001.tif,outputs\预标注候选\7-001-mac.tif,2.279,0,11
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\7-002.tif,outputs\预标注候选\7-002-mac.tif,1.881,0,0
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\7-003.tif,outputs\预标注候选\7-003-mac.tif,3.125,0,1
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\86-001.jpg,outputs\预标注候选\86-001-mac.tif,1.992,0,28
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\86-002.jpg,outputs\预标注候选\86-002-mac.tif,2.679,0,14
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\86-003.tif,outputs\预标注候选\86-003-mac.tif,1.572,0,8
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\90-003.tif,outputs\预标注候选\90-003-mac.tif,2.084,0,14
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\91-002.jpg,outputs\预标注候选\91-002-mac.tif,1.351,0,3
C:\Users\<用户名>\Desktop\扫描\原始图片\多样性林\9.9\91-003.tif,outputs\预标注候选\91-003-mac.tif,1.702,0,0
